"languages","charset","n_pages_languages","n_pages_charset","n_pages","loglikelihood","prob_cs_given_lang","prob_lang_given_cs"
"dan","EUC-JP","8520425","7893108","2089","-4.670462303699288","2.4517556342553337E-4","2.646612715802191E-4"
"dan","ISO-8859-2","8520425","5794535","1711","-4.452853232028771","2.008115792346039E-4","2.9527822336045947E-4"
"dan","Shift_JIS","8520425","11145787","1405","-6.151366060273172","1.6489787774670865E-4","1.260565987848144E-4"
"dan","windows-1250","8520425","4164581","679","-5.641222257326085","7.9690860491114E-5","1.6304161210935745E-4"
"dan","ISO-8859-4","8520425","42836","560","3.0987758162889545","6.572442102359917E-5","0.013073116070594826"
"dan","EUC-KR","8520425","4504500","447","-6.633868908111903","5.24621717813372E-5","9.923409923409923E-5"
"dan","GBK","8520425","15129860","435","-9.104481590441075","5.1053791330831504E-5","2.8751092211031694E-5"
"dan","US-ASCII","8520425","917488","287","-4.340335123875787","3.3683765774594576E-5","3.12810630765743E-4"
"dan","windows-1254","8520425","838443","246","-4.468453106583748","2.887179923536678E-5","2.934009825354854E-4"
"dan","GB18030","8520425","3063488","161","-7.905899453962632","1.8895771044284763E-5","5.2554473854638896E-5"
"dan","UTF-16LE","8520425","29580","135","1.0112735569477287","1.584428006818909E-5","0.004563894523326572"
"deu","UTF-8","108699507","2820276978","98371404","0.08309844127381696","0.9049848220562766","0.0348800507068494"
"deu","ISO-8859-1","108699507","103949213","8335949","1.471233865517116","0.07668801110569895","0.08019251670524913"
"deu","windows-1252","108699507","15713096","1091631","1.2858952445137521","0.010042649043477262","0.06947268698670205"
"deu","ISO-8859-15","108699507","3548052","822156","3.309131049315849","0.00756356696263581","0.23172039192210261"
"deu","ISO-8859-2","108699507","5794535","28536","-3.860573147038975","2.625218898186907E-4","0.004924640199774443"
"deu","windows-1250","108699507","4164581","23158","-3.6198243903624934","2.130460444498612E-4","0.0055607034657268045"
"deu","US-ASCII","108699507","917488","7294","-2.911487297979883","6.710242025292718E-5","0.007949967737997663"
"deu","windows-1253","108699507","193046","4197","-0.9278229477308728","3.861103068296345E-5","0.021740932213047667"
"deu","ISO-8859-9","108699507","1190057","3741","-4.757220601084138","3.441597945793811E-5","0.0031435469057364477"
"deu","windows-1251","108699507","31259368","3141","-11.61859037806444","2.8896175214483722E-5","1.0048187794455729E-4"
"deu","EUC-JP","108699507","7893108","1564","-10.275299642483771","1.4388289727937773E-5","1.9814754846886676E-4"
"deu","windows-1254","108699507","838443","1206","-6.317644033589649","1.109480652934332E-5","0.0014383804265764041"
"deu","UTF-16LE","108699507","29580","1074","0.06782470804023889","9.880449595783355E-6","0.036308316430020283"
"deu","ISO-8859-5","108699507","58429","765","-1.9245093629148962","7.037750410404346E-6","0.013092813500145475"
"deu","GB18030","108699507","3063488","761","-9.826258145620997","7.000951715447983E-6","2.484096559216161E-4"
"deu","EUC-KR","108699507","4504500","682","-10.815418968437898","6.274177490059821E-6","1.514041514041514E-4"
"deu","ISO-8859-4","108699507","42836","648","-1.639747852219946","5.96138858293074E-6","0.0151274628816883"
"deu","windows-1257","108699507","291902","292","-7.043454614617075","2.686304731814469E-6","0.0010003357291145658"
"deu","ISO-8859-7","108699507","424289","261","-8.015060960342968","2.401114845902659E-6","6.15146751388794E-4"
"deu","windows-1255","108699507","740287","248","-9.22973331679833","2.2815190872944807E-6","3.3500520743981726E-4"
"deu","GB2312","108699507","34551093","166","-17.697136961299673","1.5271458406890475E-6","4.804478978421898E-6"
"div","UTF-8","16004","2820276978","15955","-6.590236142851959","0.9969382654336416","5.657245768575004E-6"
"dzo","UTF-8","226","2820276978","224","-4.47911833000088","0.9911504424778761","7.942482307494835E-8"
"ell","UTF-8","5248477","2820276978","5028453","-1.4344903719201678","0.9580785054407212","0.0017829642404718449"
"ell","ISO-8859-7","5248477","424289","147739","9.74381602556719","0.02814892777466682","0.3482037007794216"
"ell","windows-1253","5248477","193046","60804","9.676256879850664","0.011585075060822406","0.3149715611823089"
"ell","ISO-8859-1","5248477","103949213","5132","-6.9997699828414675","9.778074668137062E-4","4.937026314956324E-5"
"ell","GBK","5248477","15129860","2332","-4.780294762488508","4.443193711242328E-4","1.5413229203707106E-4"
"ell","GB2312","5248477","34551093","2255","-6.486173109151308","4.296484484927723E-4","6.526566323097217E-5"
"ell","windows-1252","5248477","15713096","1013","-6.5225046520800145","1.9300837176194162E-4","6.446851721646708E-5"
"ell","Shift_JIS","5248477","11145787","189","-9.196032638711186","3.601044645903945E-5","1.695707983653375E-5"
"ell","EUC-JP","5248477","7893108","166","-8.767507921056879","3.162822281587592E-5","2.1031005783779975E-5"
