"n_pages","perc_pages","avg_warc_record_length","sum_warc_record_length","perc_warc_storage","content_mime_detected","perc_truncated","reasons_truncation"
"2","7.720233639144514E-8","981.0","1962","3.4470485382411565E-9","text/anytext","0.0",
"2","7.720233639144514E-8","1182.5","2365","4.15508144390435E-9","application/x-mysql-table-definition","0.0",
"2","7.720233639144514E-8","257707.5","515415","9.055354344228163E-7","application/x-erdas-hfa","50.0","{length=1}"
"2","7.720233639144514E-8","4265.0","8530","1.4986403685625415E-8","application/x-gemini+xml","0.0",
"2","7.720233639144514E-8","1390.5","2781","4.8859541207179694E-9","application/compsig","0.0",
"2","7.720233639144514E-8","765101.5","1530203","2.6884220256688237E-6","text/vnd.dmclientscript","0.0",
"2","7.720233639144514E-8","1110.5","2221","3.902087055776559E-9","text/x-unknown-content-type","0.0",
"2","7.720233639144514E-8","645379.0","1290758","2.267739794660081E-6","application/stl","50.0","{length=1}"
"2","7.720233639144514E-8","17371.0","34742","6.103840994677586E-8","text/x-gettext-catalog","0.0",
"2","7.720233639144514E-8","595.5","1191","2.092474418473607E-9","image/x-eps","0.0",
"2","7.720233639144514E-8","13289.5","26579","4.66967905697817E-8","text/x-hex","0.0",
"2","7.720233639144514E-8","22699.5","45399","7.976175157370553E-8","application/x-musescore+xml","50.0","{length=1}"
"2","7.720233639144514E-8","196514.0","393028","6.905130442853441E-7","application/bps","0.0",
"2","7.720233639144514E-8","18578.0","37156","6.52795797588626E-8","image/vnd.adobe.premiere","0.0",
"2","7.720233639144514E-8","697.0","1394","2.4491262295148687E-9","chemical/x-cif","0.0",
"1","3.860116819572257E-8","513222.0","513222","9.016825407202868E-7","application/smi","0.0",
"1","3.860116819572257E-8","951.0","951","1.6708171049272884E-9","application/x-go-ugf","0.0",
"1","3.860116819572257E-8","42733.0","42733","7.507784158239518E-8","image/x-cmx","0.0",
"1","3.860116819572257E-8","590.0","590","1.0365742291347005E-9","application/vnd.cinderella","0.0",
"1","3.860116819572257E-8","13659.0","13659","2.399757185720487E-8","application/x-wine-extension-qst","0.0",
"1","3.860116819572257E-8","1049250.0","1049250","1.8434330676603126E-6","application/warcraft3-map","100.0","{length=1}"
"1","3.860116819572257E-8","22978.0","22978","4.037017396111381E-8","application/x-dmp","0.0",
"1","3.860116819572257E-8","591.0","591","1.0383311346078102E-9","application/vnd.sun.xml.calc","0.0",
"1","3.860116819572257E-8","1376.0","1376","2.4175019309988947E-9","application/ttml+xml","0.0",
"1","3.860116819572257E-8","731.0","731","1.2842979008431627E-9","application/jar","0.0",
"1","3.860116819572257E-8","26094.0","26094","4.5844691415323516E-8","audio/x-gsm","0.0",
"1","3.860116819572257E-8","1162.0","1162","2.041524159753427E-9","application/vnd.circuitdiagram.component","0.0",
"1","3.860116819572257E-8","676.0","676","1.1876680998221315E-9","application/x-ms-wmd","0.0",
"1","3.860116819572257E-8","764899.0","764899","1.3438552394761072E-6","application/vnd.electricquilt.project.8","100.0","{length=1}"
"1","3.860116819572257E-8","606.0","606","1.064684716704455E-9","application/aux","0.0",
"1","3.860116819572257E-8","1082.0","1082","1.900971721904654E-9","text/vnd.curl.dcurl","0.0",
"1","3.860116819572257E-8","3089.0","3089","5.427081006435745E-9","application/vnd.blueice.multipass","0.0",
"1","3.860116819572257E-8","1406.0","1406","2.4702090951921843E-9","text/javascript+json","0.0",
"1","3.860116819572257E-8","590.0","590","1.0365742291347005E-9","application/xlsb","0.0",
"1","3.860116819572257E-8","954.0","954","1.6760878213466173E-9","text/html+ruby","0.0",
"1","3.860116819572257E-8","1245.0","1245","2.187347314021529E-9","text/x-script.ruby","0.0",
"1","3.860116819572257E-8","4420.0","4420","7.765522191144705E-9","text/x-forth","0.0",
"1","3.860116819572257E-8","1670.0","1670","2.9340321400931352E-9","application/sef","0.0",
"1","3.860116819572257E-8","1331.0","1331","2.3384411847089597E-9","text/plain-tcl","0.0",
"1","3.860116819572257E-8","3058.0","3058","5.372616936769346E-9","application/xproc+xml","0.0",
"1","3.860116819572257E-8","1182.0","1182","2.0766622692156203E-9","text/mat","0.0",
